variable,bg_level,bg_size,bg_ratio,zfp_level,zfp_size,zfp_ratio,sz_level,sz_size,sz_ratio
FLNS,4,5798915.0,1.7133415475136298,14,5288668.0,1.8786435450287293,000005,9929224.0,1.0006342892455644
FLNT,5,5118950.0,1.6829836196876313,16,5132482.0,1.6785463641177893,000001,8608811.0,1.0007315760562057
FSNS,4,5195413.0,1.7910449082681204,14,4939332.0,1.8839021146989108,000005,9298920.0,1.0006772829532893
FSNT,4,4835245.0,1.836691625760432,14,4469702.0,1.986900692708373,000001,8874556.0,1.000709669306273
LHFLX,4,80101457.0,1.6290573840623148,14,74835600.0,1.7436870954465522,000001,264274.0,0
PRECC,3,4284404.0,1.9468558520625039,12,4251108.0,1.9621042325906564,000001,8334828.0,1.000754544664869
PRECL,3,5281740.0,2.0168344144164614,14,6102204.0,1.745663534028033,000001,10645899.0,1.0006101880170006
PS,7,7572412.0,0.9997476365522636,22,5958370.0,1.2705657755392834,000001,7564212.0,1.0008314150898996
QFLX,3,5006601.0,2.082643494059143,14,5807509.0,1.7954281258970068,000001,10420676.0,1.0006035117107566
SHFLX,4,6288906.0,1.6880217322376896,14,6009918.0,1.7663818374892968,000001,10609521.0,1.0005927694567927
TMQ,4,5075429.0,1.855653384176983,16,5929717.0,1.5883113814706502,000001,9411948.0,1.0006681932369368
TS,5,53517915.0,1.757317675772683,20,64785467.0,1.4516832610004957,000001,93618200.0,1.0045907526527962
